N,d_1,d_2,d_3,d_4,d_5,per
1000,0,0,0,0,0,0,0
1000,1629,1107,461,260,132,3589,5
1000,2515,1235,598,281,152,4781,0
1000,2075,1053,542,284,146,4100,0
1000,2062,1037,537,267,132,4035,0
