N,d_1,d_2,d_3,d_4,d_5,per
800,0,0,0,0,0,0,0
800,3074,1557,774,466,200,6071,5
800,3395,1799,904,466,231,6795,0
800,3374,1649,865,498,236,6622,0
800,3168,1638,811,425,198,6240,0
