N,d_1,d_2,d_3,d_4,d_5,per
900,0,0,0,0,0,0,0
900,2772,1492,774,390,198,5626,5
900,1943,1098,516,260,132,3949,0
900,2648,1029,517,260,165,4619,0
900,2460,1273,645,325,165,4868,0
